ranking,player_name,points,career_titles_list
1,Horacio Zeballos,8610,Futures/Satellites/ITF tournaments $10K:5 | Challengers/ITF tournaments > $10K:15 | Main tour:1 | Davis/Fed Cup:2
2,Marcel Granollers,8520,Futures/Satellites/ITF tournaments $10K:5 | Challengers/ITF tournaments > $10K:7 | Main tour:4
3,Neal Skupski,8430,NA
4,Lloyd Glasspool,7280,Futures/Satellites/ITF tournaments $10K:5
5,Julian Cash,7130,Futures/Satellites/ITF tournaments $10K:0
6,Harri Heliovaara,6720,Futures/Satellites/ITF tournaments $10K:8 | Davis/Fed Cup:0
6,Henry Patten,6720,Futures/Satellites/ITF tournaments $10K:1
8,Joe Salisbury,5710,Futures/Satellites/ITF tournaments $10K:1
9,Mate Pavic,5400,Futures/Satellites/ITF tournaments $10K:4
9,Marcelo Arevalo,5400,Futures/Satellites/ITF tournaments $10K:10 | Challengers/ITF tournaments > $10K:3 | Davis/Fed Cup:11
11,Kevin Krawietz,4875,Futures/Satellites/ITF tournaments $10K:4
12,Tim Puetz,4785,Futures/Satellites/ITF tournaments $10K:7 | Challengers/ITF tournaments > $10K:0
13,Christian Harrison,4770,Futures/Satellites/ITF tournaments $10K:5 | Challengers/ITF tournaments > $10K:0
14,Andrea Vavassori,4310,Futures/Satellites/ITF tournaments $10K:0 | Challengers/ITF tournaments > $10K:0
15,Simone Bolelli,4190,Futures/Satellites/ITF tournaments $10K:2 | Challengers/ITF tournaments > $10K:12 | Main tour:0 | Davis/Fed Cup:1
16,Guido Andreozzi,3335,Futures/Satellites/ITF tournaments $10K:6 | Challengers/ITF tournaments > $10K:9
17,Hugo Nys,3310,Futures/Satellites/ITF tournaments $10K:6
18,Edouard Roger-Vasselin,3300,Futures/Satellites/ITF tournaments $10K:2 | Challengers/ITF tournaments > $10K:4 | Main tour:0
19,Nikola Mektic,3170,Futures/Satellites/ITF tournaments $10K:15 | Challengers/ITF tournaments > $10K:0
20,Manuel Guinard,2920,Futures/Satellites/ITF tournaments $10K:10 | Challengers/ITF tournaments > $10K:2
21,Francisco Cabral,2850,NA
22,Sadio Doumbia,2755,Futures/Satellites/ITF tournaments $10K:6 | Challengers/ITF tournaments > $10K:1
23,Fabien Reboul,2720,Futures/Satellites/ITF tournaments $10K:3
24,Lucas Miedler,2600,Futures/Satellites/ITF tournaments $10K:10 | Challengers/ITF tournaments > $10K:0 | Davis/Fed Cup:1
25,Yuki Bhambri,2590,Futures/Satellites/ITF tournaments $10K:12 | Challengers/ITF tournaments > $10K:7 | Davis/Fed Cup:1
26,Albano Olivetti,2585,Futures/Satellites/ITF tournaments $10K:6 | Challengers/ITF tournaments > $10K:0
27,Theo Arribage,2550,NA
28,Evan King,2455,Futures/Satellites/ITF tournaments $10K:6
29,Orlando Luz,2401,Futures/Satellites/ITF tournaments $10K:9 | Challengers/ITF tournaments > $10K:0
30,James Tracy,2392,Futures/Satellites/ITF tournaments $10K:1
31,Rafael Matos,2340,Futures/Satellites/ITF tournaments $10K:4
32,David Pel,2324,NA
33,Jan Zielinski,2265,Futures/Satellites/ITF tournaments $10K:0 | Davis/Fed Cup:0
34,Alexander Erler,2260,Futures/Satellites/ITF tournaments $10K:7
35,Robert Cash,2197,NA
36,Jakob Schnaitter,2187,Futures/Satellites/ITF tournaments $10K:1
36,Mark Wallner,2187,NA
38,Andres Molteni,2160,Futures/Satellites/ITF tournaments $10K:15 | Challengers/ITF tournaments > $10K:1
39,Constantin Frantzen,2080,NA
40,Robert Galloway,2075,NA
41,Austin Krajicek,2045,Futures/Satellites/ITF tournaments $10K:5 | Challengers/ITF tournaments > $10K:2
42,Andre Goransson,2040,Futures/Satellites/ITF tournaments $10K:0
43,Marcelo Melo,2030,Futures/Satellites/ITF tournaments $10K:1
44,Patrik Rikl,1970,Futures/Satellites/ITF tournaments $10K:6
45,Rajeev Ram,1960,Futures/Satellites/ITF tournaments $10K:1 | Challengers/ITF tournaments > $10K:7 | Main tour:2
46,Adam Pavlasek,1950,Futures/Satellites/ITF tournaments $10K:6 | Challengers/ITF tournaments > $10K:4
47,Luke Johnson,1940,Futures/Satellites/ITF tournaments $10K:1
48,Santiago Gonzalez,1925,Futures/Satellites/ITF tournaments $10K:5 | Challengers/ITF tournaments > $10K:2 | Davis/Fed Cup:2
49,Michael Venus,1920,Futures/Satellites/ITF tournaments $10K:3 | Challengers/ITF tournaments > $10K:0 | Davis/Fed Cup:0
50,Maximo Gonzalez,1890,Futures/Satellites/ITF tournaments $10K:8 | Challengers/ITF tournaments > $10K:17
51,Sander Arends,1885,NA
52,Marc Polmans,1850,Futures/Satellites/ITF tournaments $10K:12 | Challengers/ITF tournaments > $10K:3
53,Robin Haase,1790,Futures/Satellites/ITF tournaments $10K:2 | Challengers/ITF tournaments > $10K:13 | Main tour:2 | Davis/Fed Cup:11
54,John-Patrick Smith,1784,Futures/Satellites/ITF tournaments $10K:3 | Challengers/ITF tournaments > $10K:2
55,Vasil Kirkov,1770,Futures/Satellites/ITF tournaments $10K:2
56,Bart Stevens,1735,NA
57,Petr Nouza,1730,Futures/Satellites/ITF tournaments $10K:0
58,Pierre-Hugues Herbert,1697,Futures/Satellites/ITF tournaments $10K:6 | Challengers/ITF tournaments > $10K:6 | Main tour:0
59,Matej Vocel,1551,Futures/Satellites/ITF tournaments $10K:0
60,Rinky Hijikata,1490,Futures/Satellites/ITF tournaments $10K:7 | Challengers/ITF tournaments > $10K:4
